Scientific.Name,Longitude,Latitude,Country
Lutjanus gibbus,123.09959,-12.23313,AU
Lutjanus gibbus,123.08058,-12.23455,AU
Lutjanus gibbus,122.97843,-12.2208,AU
Lutjanus gibbus,123.08383,-12.20246,AU
Lutjanus gibbus,123.02034,-12.20844,AU
Lutjanus gibbus,122.96207,-12.2657,AU
Lutjanus gibbus,123.03929,-12.27744,AU
Lutjanus gibbus,123.09422000000001,-12.18594,AU
Lutjanus gibbus,123.02213,-12.21763,AU
Lutjanus gibbus,123.05159,-12.29466,AU
Lutjanus gibbus,123.07196,-12.21619,AU
Lutjanus gibbus,123.05145,-12.23116,AU
Lutjanus gibbus,123.07912,-12.23935,AU
Lutjanus gibbus,123.00394,-12.22834,AU
Lutjanus gibbus,123.05331,-12.20317,AU
Lutjanus gibbus,123.10033,-12.22934,AU
Lutjanus gibbus,122.9555,-12.26292,AU
Lutjanus gibbus,123.15284,-12.23249,AU
Lutjanus gibbus,123.0637,-12.23496,AU
Lutjanus gibbus,123.13918,-12.19707,AU
Lutjanus gibbus,122.94707,-12.26091,AU
Lutjanus gibbus,123.02305,-12.21224,AU
Lutjanus gibbus,123.04763,-12.19867,AU
Lutjanus gibbus,123.0912,-12.23615,AU
Lutjanus gibbus,123.08997,-12.2622,AU
Lutjanus gibbus,123.13556,-12.21058,AU
Lutjanus gibbus,122.97521,-12.23154,AU
Lutjanus gibbus,123.06693,-12.27938,AU
Lutjanus gibbus,123.09446,-12.19107,AU
Lutjanus gibbus,123.14648,-12.25713,AU
Lutjanus gibbus,122.95798,-12.265,AU
Lutjanus gibbus,122.99096,-12.22183,AU
Lutjanus gibbus,123.15515,-12.23886,AU
Lutjanus gibbus,123.04084,-12.19379,AU
Lutjanus gibbus,123.1007,-12.29227,AU
Lutjanus gibbus,122.999,-12.23258,AU
Lutjanus gibbus,123.06161,-12.20644,AU
Lutjanus gibbus,123.03366,-12.20764,AU
Lutjanus gibbus,123.02615,-12.20167,AU
Lutjanus gibbus,123.06134,-12.22098,AU
Lutjanus gibbus,123.04628,-12.22322,AU
Lutjanus gibbus,123.01118,-12.24043,AU
Lutjanus gibbus,123.07442,-12.20603,AU
Lutjanus gibbus,122.96368,-12.22689,AU
Lutjanus gibbus,123.07681,-12.19101,AU
Lutjanus gibbus,122.94349,-12.25908,AU
Lutjanus gibbus,123.1307,-12.18933,AU
Lutjanus gibbus,123.10368,-12.19013,AU
Lutjanus gibbus,123.11809,-12.29077,AU
Lutjanus gibbus,123.06606,-12.19056,AU
Lutjanus gibbus,123.10884,-12.18806,AU
Lutjanus gibbus,122.99386,-12.2393,AU
Lutjanus gibbus,123.04473,-12.20237,AU
Lutjanus gibbus,123.13462,-12.21498,AU
Lutjanus gibbus,122.9315,-12.2525,AU
Lutjanus gibbus,123.1805,-12.13733,AU
Lutjanus gibbus,118.97043,-17.52413,AU
Lutjanus gibbus,118.97633,-17.52766,AU
Lutjanus gibbus,118.972,-17.531,AU
Lutjanus gibbus,123.103,-12.293,AU
Lutjanus gibbus,123.95383,-12.26616,AU
Lutjanus gibbus,123.5585,-12.54566,AU
Lutjanus gibbus,123.09833,-12.29166,AU
Lutjanus gibbus,118.97433,-17.53766,AU
Lutjanus gibbus,123.5525,-12.54666,AU
Lutjanus gibbus,152.53204,-21.10872,AU
Lutjanus gibbus,119.32783,-17.261,AU
Lutjanus gibbus,122.976,-12.27483,AU
Lutjanus gibbus,123.15033,-12.211,AU
Lutjanus gibbus,122.9255,-12.24116,AU
Lutjanus gibbus,152.150564,-32.714174,AU
Lutjanus gibbus,151.293345,-33.79962,AU
Lutjanus gibbus,-147.637575,-14.964615,PF
Lutjanus gibbus,39.752773,-7.972137,TZ
Lutjanus gibbus,146.010692,-16.517468,AU
Lutjanus gibbus,151.294098,-33.800302,AU
Lutjanus gibbus,73.532221,4.09305,MV
Lutjanus gibbus,146.11267,-16.6488,AU
Lutjanus gibbus,146.05,-16.54865,AU
Lutjanus gibbus,145.58198,-14.52352,AU
Lutjanus gibbus,146.47962,-17.2841,AU
Lutjanus gibbus,146.2015,-16.80483,AU
Lutjanus gibbus,146.47903,-17.22507,AU
Lutjanus gibbus,145.62432,-14.57892,AU
Lutjanus gibbus,145.8716,-16.04757,AU
Lutjanus gibbus,145.585,-14.5264,AU
Lutjanus gibbus,147.7247,-18.73105,AU
Lutjanus gibbus,145.8533,-16.07655,AU
Lutjanus gibbus,145.84958,-16.07332,AU
Lutjanus gibbus,146.11398,-16.65238,AU
Lutjanus gibbus,147.72383,-18.6558,AU
Lutjanus gibbus,145.9075,-16.21092,AU
Lutjanus gibbus,145.90753,-16.20752,AU
Lutjanus gibbus,145.51498,-14.74983,AU
Lutjanus gibbus,145.49517,-14.653,AU
Lutjanus gibbus,151.7789,-23.49845,AU
Lutjanus gibbus,146.23933,-16.84967,AU
Lutjanus gibbus,145.46923,-14.69147,AU
Lutjanus gibbus,145.65268,-14.63157,AU
Lutjanus gibbus,145.491,-14.64833,AU
Lutjanus gibbus,145.58833,-14.52913,AU
Lutjanus gibbus,145.37643,-14.75943,AU
Lutjanus gibbus,145.64945,-14.6296,AU
Lutjanus gibbus,151.97975,-23.31915,AU
Lutjanus gibbus,145.62085,-14.57385,AU
Lutjanus gibbus,146.88105,-18.47492,AU
Lutjanus gibbus,145.87015,-16.04182,AU
Lutjanus gibbus,147.39053,-18.25438,AU
Lutjanus gibbus,145.86877,-16.03838,AU
Lutjanus gibbus,146.47847,-17.22917,AU
Lutjanus gibbus,152.44248,-21.29647,AU
Lutjanus gibbus,145.517,-14.7464,AU
Lutjanus gibbus,145.64533,-14.62787,AU
Lutjanus gibbus,145.51577,-14.74355,AU
Lutjanus gibbus,147.45533,-18.40378,AU
Lutjanus gibbus,145.84515,-16.07158,AU
Lutjanus gibbus,145.3514,-14.79255,AU
Lutjanus gibbus,146.05402,-16.5515,AU
Lutjanus gibbus,145.9062,-16.20343,AU
Lutjanus gibbus,147.5765,-18.60295,AU
Lutjanus gibbus,149.91517,-19.66285,AU
Lutjanus gibbus,145.49417,-14.65033,AU
Lutjanus gibbus,145.35517,-14.78517,AU
Lutjanus gibbus,146.87865,-18.47182,AU
Lutjanus gibbus,145.37527,-14.76455,AU
Lutjanus gibbus,146.20002,-16.80142,AU
Lutjanus gibbus,146.02267,-16.49935,AU
Lutjanus gibbus,146.1107,-16.6461,AU
Lutjanus gibbus,146.88358,-18.47873,AU
Lutjanus gibbus,145.65245,-16.04495,AU
Lutjanus gibbus,147.72723,-18.7341,AU
Lutjanus gibbus,146.02995,-16.50682,AU
Lutjanus gibbus,146.39053,-17.51795,AU
Lutjanus gibbus,146.47808,-17.29065,AU
Lutjanus gibbus,146.47787,-17.2336,AU
Lutjanus gibbus,147.5734,-18.60437,AU
Lutjanus gibbus,145.61827,-14.57012,AU
Lutjanus gibbus,145.3535,-14.78883,AU
Lutjanus gibbus,147.55273,-18.73513,AU
Lutjanus gibbus,147.58038,-18.57178,AU
Lutjanus gibbus,146.23583,-16.84767,AU
Lutjanus gibbus,145.37223,-14.7553,AU
Lutjanus gibbus,146.05687,-16.55537,AU
Lutjanus gibbus,145.46558,-14.69435,AU
Lutjanus gibbus,145.98045,-16.77532,AU
Lutjanus gibbus,147.08408,-18.62263,AU
Lutjanus gibbus,146.02657,-16.50303,AU
Lutjanus gibbus,147.46418,-18.40555,AU
Lutjanus gibbus,152.57005,-21.46963,AU
Lutjanus gibbus,145.46297,-14.6977,AU
Lutjanus gibbus,147.38605,-18.25463,AU
Lutjanus gibbus,145.97668,-16.77287,AU
Lutjanus gibbus,146.24258,-16.8535,AU
Lutjanus gibbus,146.19812,-16.7988,AU
Lutjanus gibbus,147.58147,-18.5738,AU
Lutjanus gibbus,146.52682,-17.797,AU
Lutjanus gibbus,147.05787,-18.47442,AU
Lutjanus gibbus,145.64997,-16.0474,AU
Lutjanus gibbus,146.47905,-17.28732,AU
Lutjanus gibbus,147.0593,-18.42833,AU
Lutjanus gibbus,147.7218,-18.7318,AU
Lutjanus gibbus,146.52925,-17.79503,AU
Lutjanus gibbus,39.39151,-4.659709,KE
Lutjanus gibbus,145.881327,-16.210456,AU
Lutjanus gibbus,177.315286,-18.110796,FJ
Lutjanus gibbus,151.294097,-33.79932,AU
Lutjanus gibbus,151.293683,-33.799527,AU
Lutjanus gibbus,105.269122,-5.452333,ID
Lutjanus gibbus,121.539149,23.469856,TW
Lutjanus gibbus,120.389228,22.345536,TW
Lutjanus gibbus,146.269602,-16.786469,AU
Lutjanus gibbus,136.204371,-1.241568,ID
Lutjanus gibbus,120.085898,23.189655,TW
Lutjanus gibbus,114.506323,-8.096318,ID
Lutjanus gibbus,121.561417,23.510066,TW
Lutjanus gibbus,134.296837,7.065845,PW
Lutjanus gibbus,130.738167,-0.5069,ID
